Email,Gender,Age,Address,Avg. Session Length,Time on App,Time on Website,Length of Membership,Product Purchase ID
mstephenson@fernandez.com,Male,45,"835 Frank Tunnel
Wrightmouth, MI 82180-9605",34.49726773,12.65565115,39.57766802,4.082620633,552
hduke@hotmail.com,Female,51,"4547 Archer Common
Diazchester, CA 06566-8576",31.92627203,11.10946073,37.26895887,2.664034182,580
pallen@yahoo.com,Male,39,"24645 Valerie Unions Suite 582
Cobbborough, DC 99414-7564",33.00091476,11.33027806,37.11059744,4.104543202,4696
riverarebecca@gmail.com,Male,46,"1414 David Throughway
Port Jason, OH 22070-1220",34.30555663,13.71751367,36.72128268,3.120178783,5644
mstephens@davidson-herman.com,Male,23,"14023 Rodriguez Passage
Port Jacobville, PR 37242-1057",33.33067252,12.79518855,37.5366533,4.446308318,6284
alvareznancy@lucas.biz,Female,31,"645 Martha Park Apt. 611
Jeffreychester, MN 67218-7250",33.87103788,12.02692534,34.47687763,5.493507201,6493
katherine20@yahoo.com,Female,52,"68388 Reyes Lights Suite 692
Josephbury, WV 92213-0247",32.0215955,11.36634831,36.68377615,4.685017247,6726
awatkins@yahoo.com,Male,52,"Unit 6538 Box 8980
DPO AP 09026-4941",32.73914294,12.35195897,37.37335886,4.434273435,6742
vchurch@walter-martinez.com,Male,45,"860 Lee Key
West Debra, SD 97450-0495",33.9877729,13.38623528,37.53449734,3.273433578,7195
bonnie69@lin.biz,Male,43,"PSC 2734, Box 5255
APO AA 98456-7482",31.93654862,11.81412829,37.14516822,3.202806072,7783
andrew06@peterson.com,Male,52,"26104 Alexander Groves
Alexandriaport, WY 28244-9149",33.99257277,13.33897545,37.22580613,2.482607771,7936
ryanwerner@freeman.biz,Female,40,"Unit 2413 Box 0347
DPO AA 07580-2652",33.87936082,11.584783,37.08792607,3.713209203,8060
knelson@gmail.com,Male,19,"6705 Miller Orchard Suite 186
Lake Shanestad, MO 75696-5051",29.53242897,10.9612984,37.42021558,4.046423164,8552
wrightpeter@yahoo.com,Male,26,"05302 Dunlap Ferry
New Stephaniehaven, MP 42268",33.19033404,12.95922609,36.1446667,3.918541839,9071
taylormason@gmail.com,Male,55,"7773 Powell Springs Suite 190
Samanthaland, ND 44358",32.38797585,13.14872569,36.61995708,2.494543647,9312
jstark@anderson.com,Female,31,"49558 Ramirez Road Suite 399
Phillipstad, OH 35641-3238",30.73772037,12.63660605,36.21376309,3.357846842,9314
wjennings@gmail.com,Female,25,"6362 Wilson Mountain
Johnsonfurt, GA 15169",32.1253869,11.73386169,34.89409275,3.136132716,9355
rebecca45@hale-bauer.biz,Male,32,"8982 Burton Row
Wilsonton, PW 88606",32.33889932,12.01319469,38.38513659,2.420806161,9546
alejandro75@hotmail.com,Male,26,"64475 Andre Club Apt. 795
Port Dannytown, PW 63227",32.18781205,14.71538754,38.24411459,1.516575581,9646
samuel46@love-west.net,Male,30,"544 Alexander Heights Suite 768
North Johnview, MT 57912",32.61785606,13.98959256,37.1905038,4.06454855,10101
megan33@gmail.com,Male,15,"84426 Julia Vista
North Teresa, KY 50756",32.91278511,11.36549203,37.60779252,4.599937358,10102
agolden@yahoo.com,Female,44,"PSC 2490, Box 2120
APO AE 15445-2876",33.50308726,12.8779837,37.44102134,1.55915194,10640
vstafford@hotmail.com,Male,24,"PSC 5723, Box 8159
APO AA 74738",31.53160448,13.37856278,38.73400629,2.245147787,11338
denise22@hernandez-townsend.com,Male,42,"USNS Cardenas
FPO AA 85439-9449",32.90325097,11.65757592,36.77260376,3.919302309,11801
youngbarbara@yahoo.com,Male,25,"019 Elliott Tunnel Suite 190
Nicholsbury, WV 60804-4440",34.507551,12.8936695,37.63575588,5.705153971,13155
william25@mcconnell.com,Female,35,"9495 Mary Fall Apt. 777
Glassport, ND 17957-5596",33.02933195,11.76581265,37.73852495,2.721735992,13202
ijones@schaefer-carr.net,Female,52,"657 Judith Crossroad
Hancockchester, VI 75658-5788",33.54123131,12.78389178,36.43064962,4.648199316,13213
heatherhall@yahoo.com,Female,17,"8522 Regina Port Suite 782
Port Kaitlin, TX 50501-7264",32.33598964,13.00781942,37.85177917,2.996364526,13580
tinasmith@martinez.info,Female,31,"40000 Ann Port Suite 474
Youngberg, MS 03651",33.11020506,11.98204499,35.29308775,3.923488746,13581
chasejennifer@hotmail.com,Female,54,"9507 Robert Prairie Apt. 601
East Crystalview, SC 56814",33.10543794,11.96502,37.27781174,4.74257752,13700
jenniferbarnett@gmail.com,Female,19,"0772 Michael Isle Suite 617
Meyerstown, WA 45449-6768",33.24190043,12.30541781,36.16364817,3.062368145,13701
